sample path, elapsed time (ms), memory usage (KB)
Samples/CMDS/CMDS(defs).aps, 743, 4719810
Samples/CMDS/CMDS(end).aps, 691, 4719809
Samples/TYPE/TYPE.aps, 692, 4719804
Samples/TYPE/TYPES.aps, 709, 4719805
Samples/ER(2023_3).aps, 722, 4719805
Samples/prog7.aps, 721, 4719800
Samples/DEF/DEF(const).aps, 724, 4719809
Samples/DEF/DEF(funRec).aps, 733, 4719810
Samples/DEF/DEF(fun).aps, 855, 4719807
Samples/EXPR/EXPR(if_1).aps, 697, 4719810
Samples/EXPR/EXPR(or_10).aps, 749, 4719811
Samples/EXPR/EXPR(app_mul).aps, 686, 4719813
Samples/EXPR/EXPR(app_f).aps, 722, 4719811
Samples/EXPR/EXPR(not_0).aps, 726, 4719811
Samples/EXPR/EXPR(if_0).aps, 683, 4719810
Samples/EXPR/EXPR(lt_0).aps, 693, 4719810
Samples/EXPR/EXPR(num).aps, 701, 4719809
Samples/EXPR/EXPR(and_01).aps, 689, 4719812
Samples/EXPR/EXPR(eq_1).aps, 743, 4719810
Samples/EXPR/EXPR(app_sub).aps, 711, 4719813
Samples/EXPR/EXPR(and_11).aps, 719, 4719812
Samples/EXPR/EXPR(app_add).aps, 680, 4719813
Samples/EXPR/EXPR(app_div).aps, 709, 4719813
Samples/EXPR/EXPR(or_01).aps, 714, 4719811
Samples/EXPR/EXPR(not_1).aps, 716, 4719811
Samples/EXPR/EXPR(or_11).aps, 762, 4719811
Samples/EXPR/EXPR(or_00).aps, 700, 4719811
Samples/EXPR/EXPR(id).aps, 695, 4719808
Samples/EXPR/EXPR(and_10).aps, 714, 4719812
Samples/EXPR/EXPR(lt_1).aps, 698, 4719810
Samples/EXPR/EXPR(and_00).aps, 724, 4719812
Samples/EXPR/EXPR(eq_0).aps, 712, 4719810
Samples/EXPR/EXPR(abs).aps, 756, 4719809
Samples/prog9.aps, 701, 4719800
Samples/prog10.aps, 682, 4719801
Samples/ER(2023_1).aps, 685, 4719805
Samples/ER(2024_1).aps, 709, 4719805
Samples/STAT/STAT(echo).aps, 699, 4719810
Samples/prog1.aps, 706, 4719800
Samples/prog6.aps, 686, 4719800
Samples/ER(2023_2).aps, 741, 4719805
Samples/prog8.aps, 714, 4719800
Samples/ER(2024_2).aps, 708, 4719805
Samples/prog4.aps, 702, 4719800
Samples/prog3.aps, 723, 4719800
Samples/prog0.aps, 712, 4719800
Samples/APS0/isEven.aps, 678, 4719806
Samples/APS0/fact.aps, 750, 4719804
Samples/APS0/pgcd.aps, 728, 4719804
Samples/APS0/fib.aps, 709, 4719803
Samples/APS0/pow.aps, 697, 4719803
Samples/ARG/ARGS.aps, 695, 4719803
Samples/prog2.aps, 715, 4719800
Samples/prog5.aps, 702, 4719800
