sample path, correct (yes/no), result,  expected
Samples/CMDS/CMDS(defs).aps, no, Fatal error: exception Failure(" Opérateur ou arguments non pris en charge"),  1
Samples/CMDS/CMDS(end).aps, yes, 42,  42
Samples/TYPE/TYPE.aps, yes, 5,  5
Samples/TYPE/TYPES.aps, no, Fatal error: exception Failure(" Opérateur ou arguments non pris en charge"),  43 
Samples/ER(2023_3).aps, no, Fatal error: exception Failure(" Impossible d'appeler une fonction qui n'est pas une fermeture"),  3
Samples/prog7.aps, yes, 5,  5
Samples/DEF/DEF(const).aps, yes, 3,  3
Samples/DEF/DEF(funRec).aps, no, Fatal error: exception Failure(" Impossible d'appeler une fonction qui n'est pas une fermeture"),  6
Samples/DEF/DEF(fun).aps, no, Fatal error: exception Failure(" Opérateur ou arguments non pris en charge"),  50
Samples/EXPR/EXPR(if_1).aps, yes, 0,  0
Samples/EXPR/EXPR(or_10).aps, yes, 1,  1
Samples/EXPR/EXPR(app_mul).aps, no, Fatal error: exception Failure(" Opérateur ou arguments non pris en charge"),  25
Samples/EXPR/EXPR(app_f).aps, no, Fatal error: exception Failure(" Opérateur ou arguments non pris en charge"),  50
Samples/EXPR/EXPR(not_0).aps, no, Fatal error: exception Failure(" Opérateur ou arguments non pris en charge"),  1
Samples/EXPR/EXPR(if_0).aps, yes, 1,  1
Samples/EXPR/EXPR(lt_0).aps, no, Fatal error: exception Failure(" Opérateur ou arguments non pris en charge"),  0
Samples/EXPR/EXPR(num).aps, yes, 42,  42
Samples/EXPR/EXPR(and_01).aps, yes, 11,  11
Samples/EXPR/EXPR(eq_1).aps, no, Fatal error: exception Failure(" Opérateur ou arguments non pris en charge"),  1
Samples/EXPR/EXPR(app_sub).aps, no, Fatal error: exception Failure(" Opérateur ou arguments non pris en charge"),  25
Samples/EXPR/EXPR(and_11).aps, yes, 10,  10
Samples/EXPR/EXPR(app_add).aps, no, Fatal error: exception Failure(" Opérateur ou arguments non pris en charge"),  43
Samples/EXPR/EXPR(app_div).aps, no, Fatal error: exception Failure(" Opérateur ou arguments non pris en charge"),  2
Samples/EXPR/EXPR(or_01).aps, yes, 1,  1
Samples/EXPR/EXPR(not_1).aps, no, Fatal error: exception Failure(" Opérateur ou arguments non pris en charge"),  0
Samples/EXPR/EXPR(or_11).aps, yes, 1,  1
Samples/EXPR/EXPR(or_00).aps, yes, 0,  0
Samples/EXPR/EXPR(id).aps, yes, 3,  3
Samples/EXPR/EXPR(and_10).aps, yes, 11,  11
Samples/EXPR/EXPR(lt_1).aps, no, Fatal error: exception Failure(" Opérateur ou arguments non pris en charge"),  1
Samples/EXPR/EXPR(and_00).aps, yes, 11,  11
Samples/EXPR/EXPR(eq_0).aps, no, Fatal error: exception Failure(" Opérateur ou arguments non pris en charge"),  0
Samples/EXPR/EXPR(abs).aps, no, Fatal error: exception Failure(" Impossible d'appeler une fonction qui n'est pas une fermeture ou une variable"),  42
Samples/prog9.aps, no, Fatal error: exception Failure(" Impossible d'appeler une fonction qui n'est pas une fermeture ou une variable"),  2
Samples/prog10.aps, yes, 56,  56
Samples/ER(2023_1).aps, no, Fatal error: exception Failure(" Opérateur ou arguments non pris en charge"),  5
Samples/ER(2024_1).aps, no, Fatal error: exception Failure(" Opérateur ou arguments non pris en charge"),  3
Samples/STAT/STAT(echo).aps, yes, 42,  42
Samples/prog1.aps, yes, 20,  20
Samples/prog6.aps, yes, 9,  9
Samples/ER(2023_2).aps, no, Fatal error: exception Failure(" Opérateur ou arguments non pris en charge"),  3
Samples/prog8.aps, yes, 3,  3
Samples/ER(2024_2).aps, no, Fatal error: exception Failure(" Impossible d'appeler une fonction qui n'est pas une fermeture"),  6
Samples/prog4.aps, no, Fatal error: exception Failure(" Opérateur ou arguments non pris en charge"),  100
Samples/prog3.aps, no, Fatal error: exception Failure(" Opérateur ou arguments non pris en charge"),  30
Samples/prog0.aps, yes, 42,  42
Samples/ARG/ARGS.aps, no, Fatal error: exception Failure(" Opérateur ou arguments non pris en charge"),  50
Samples/prog2.aps, no, Fatal error: exception Failure(" Opérateur ou arguments non pris en charge"),  22
Samples/prog5.aps, yes, 2,  2
