sample path, elapsed time (ms), memory usage (KB)
Samples/CMDS/CMDS(defs).aps, 1347, 4691378
Samples/CMDS/CMDS(end).aps, 704, 4691377
Samples/TYPE/TYPE.aps, 710, 4691372
Samples/TYPE/TYPES.aps, 739, 4691373
Samples/ER(2023_3).aps, 708, 4691373
Samples/prog7.aps, 708, 4691368
Samples/DEF/DEF(proc).aps, 726, 4691376
Samples/DEF/DEF(VAR).aps, 700, 4691375
Samples/DEF/DEF(const).aps, 710, 4691377
Samples/DEF/DEF(ProcRec).aps, 731, 4691379
Samples/DEF/DEF(funRec).aps, 716, 4691378
Samples/DEF/DEF(fun).aps, 717, 4691375
Samples/EXPR/EXPR(if_1).aps, 711, 4691378
Samples/EXPR/EXPR(or_10).aps, 701, 4691379
Samples/EXPR/EXPR(app_mul).aps, 708, 4691381
Samples/EXPR/EXPR(app_f).aps, 713, 4691379
Samples/EXPR/EXPR(not_0).aps, 706, 4691379
Samples/EXPR/EXPR(if_0).aps, 717, 4691378
Samples/EXPR/EXPR(lt_0).aps, 702, 4691378
Samples/EXPR/EXPR(num).aps, 707, 4691377
Samples/EXPR/EXPR(and_01).aps, 713, 4691380
Samples/EXPR/EXPR(eq_1).aps, 704, 4691378
Samples/EXPR/EXPR(app_sub).aps, 705, 4691381
Samples/EXPR/EXPR(and_11).aps, 722, 4691380
Samples/EXPR/EXPR(app_add).aps, 707, 4691381
Samples/EXPR/EXPR(app_div).aps, 704, 4691381
Samples/EXPR/EXPR(or_01).aps, 707, 4691379
Samples/EXPR/EXPR(not_1).aps, 716, 4691379
Samples/EXPR/EXPR(or_11).aps, 712, 4691379
Samples/EXPR/EXPR(or_00).aps, 721, 4691379
Samples/EXPR/EXPR(id).aps, 728, 4691376
Samples/EXPR/EXPR(and_10).aps, 704, 4691380
Samples/EXPR/EXPR(lt_1).aps, 713, 4691378
Samples/EXPR/EXPR(and_00).aps, 708, 4691380
Samples/EXPR/EXPR(eq_0).aps, 707, 4691378
Samples/EXPR/EXPR(abs).aps, 711, 4691377
Samples/prog9.aps, 710, 4691368
Samples/prog10.aps, 715, 4691369
Samples/ER(2023_1).aps, 732, 4691373
Samples/ER(2024_1).aps, 718, 4691373
Samples/STAT/STAT(if).aps, 718, 4691376
Samples/STAT/STAT(while).aps, 725, 4691379
Samples/STAT/STAT(call).aps, 713, 4691378
Samples/STAT/STAT(set).aps, 698, 4691377
Samples/STAT/STAT(echo).aps, 706, 4691378
Samples/prog1.aps, 714, 4691368
Samples/prog6.aps, 712, 4691368
Samples/ER(2023_2).aps, 746, 4691373
Samples/APS1a/incr(ref).aps, 694, 4691378
Samples/APS1a/recPow.aps, 675, 4691375
Samples/APS1a/swap.aps, 673, 4691373
Samples/prog8.aps, 701, 4691368
Samples/ER(2024_2).aps, 717, 4691373
Samples/prog4.aps, 701, 4691368
Samples/prog3.aps, 722, 4691368
Samples/prog0.aps, 705, 4691368
Samples/APS0/isEven.aps, 723, 4691374
Samples/APS0/fact.aps, 727, 4691372
Samples/APS0/pgcd.aps, 729, 4691372
Samples/APS0/fib.aps, 706, 4691371
Samples/APS0/pow.aps, 729, 4691371
Samples/ARG/ARGS.aps, 708, 4691371
Samples/APS1/set.aps, 712, 4691371
Samples/APS1/proc.aps, 708, 4691372
Samples/APS1/while.aps, 793, 4691373
Samples/prog2.aps, 744, 4691368
Samples/prog5.aps, 725, 4691368
