sample path, elapsed time (ms), memory usage (KB)
Samples/CMDS/CMDS(defs).aps, 685, 4735426
Samples/CMDS/CMDS(end).aps, 683, 4735425
Samples/TYPE/TYPE.aps, 687, 4735420
Samples/TYPE/TYPES.aps, 698, 4735421
Samples/ER(2023_3).aps, 686, 4735421
Samples/prog7.aps, 686, 4735416
Samples/DEF/DEF(proc).aps, 693, 4735424
Samples/DEF/DEF(VAR).aps, 682, 4735423
Samples/DEF/DEF(const).aps, 678, 4735425
Samples/DEF/DEF(ProcRec).aps, 706, 4735427
Samples/DEF/DEF(funRec).aps, 682, 4735426
Samples/DEF/DEF(fun).aps, 690, 4735423
Samples/EXPR/EXPR(if_1).aps, 684, 4735426
Samples/EXPR/EXPR(or_10).aps, 686, 4735427
Samples/EXPR/EXPR(app_mul).aps, 683, 4735429
Samples/EXPR/EXPR(app_f).aps, 695, 4735427
Samples/EXPR/EXPR(not_0).aps, 680, 4735427
Samples/EXPR/EXPR(if_0).aps, 696, 4735426
Samples/EXPR/EXPR(lt_0).aps, 691, 4735426
Samples/EXPR/EXPR(num).aps, 676, 4735425
Samples/EXPR/EXPR(and_01).aps, 695, 4735428
Samples/EXPR/EXPR(eq_1).aps, 736, 4735426
Samples/EXPR/EXPR(app_sub).aps, 677, 4735429
Samples/EXPR/EXPR(and_11).aps, 693, 4735428
Samples/EXPR/EXPR(app_add).aps, 680, 4735429
Samples/EXPR/EXPR(app_div).aps, 681, 4735429
Samples/EXPR/EXPR(or_01).aps, 686, 4735427
Samples/EXPR/EXPR(not_1).aps, 681, 4735427
Samples/EXPR/EXPR(or_11).aps, 684, 4735427
Samples/EXPR/EXPR(or_00).aps, 686, 4735427
Samples/EXPR/EXPR(id).aps, 691, 4735424
Samples/EXPR/EXPR(and_10).aps, 695, 4735428
Samples/EXPR/EXPR(lt_1).aps, 680, 4735426
Samples/EXPR/EXPR(and_00).aps, 683, 4735428
Samples/EXPR/EXPR(eq_0).aps, 703, 4735426
Samples/EXPR/EXPR(abs).aps, 690, 4735425
Samples/prog9.aps, 733, 4735416
Samples/prog10.aps, 686, 4735417
Samples/ER(2023_1).aps, 693, 4735421
Samples/ER(2024_1).aps, 681, 4735421
Samples/STAT/STAT(if).aps, 685, 4735424
Samples/STAT/STAT(while).aps, 691, 4735427
Samples/STAT/STAT(call).aps, 686, 4735426
Samples/STAT/STAT(set).aps, 686, 4735425
Samples/STAT/STAT(echo).aps, 680, 4735426
Samples/prog1.aps, 681, 4735416
Samples/prog6.aps, 690, 4735416
Samples/ER(2023_2).aps, 687, 4735421
Samples/APS1a/incr(ref).aps, 677, 4735426
Samples/APS1a/recPow.aps, 677, 4735423
Samples/APS1a/swap.aps, 674, 4735421
Samples/prog8.aps, 687, 4735416
Samples/ER(2024_2).aps, 734, 4735421
Samples/prog4.aps, 690, 4735416
Samples/prog3.aps, 695, 4735416
Samples/prog0.aps, 684, 4735416
Samples/APS0/isEven.aps, 682, 4735422
Samples/APS0/fact.aps, 685, 4735420
Samples/APS0/pgcd.aps, 682, 4735420
Samples/APS0/fib.aps, 691, 4735419
Samples/APS0/pow.aps, 693, 4735419
Samples/ARG/ARGS.aps, 688, 4735419
Samples/APS1/set.aps, 683, 4735419
Samples/APS1/proc.aps, 695, 4735420
Samples/APS1/while.aps, 687, 4735421
Samples/prog2.aps, 690, 4735416
Samples/prog5.aps, 724, 4735416
