sample path, elapsed time (ms), memory usage (KB)
Samples/CMDS/CMDS(defs).aps, 737, 4736390
Samples/CMDS/CMDS(end).aps, 682, 4736389
Samples/TYPE/TYPE.aps, 686, 4736384
Samples/TYPE/TYPES.aps, 680, 4736385
Samples/ER(2023_3).aps, 694, 4736385
Samples/prog7.aps, 681, 4736380
Samples/DEF/DEF(proc).aps, 689, 4736388
Samples/DEF/DEF(VAR).aps, 682, 4736387
Samples/DEF/DEF(const).aps, 685, 4736389
Samples/DEF/DEF(ProcRec).aps, 686, 4736391
Samples/DEF/DEF(funRec).aps, 689, 4736390
Samples/DEF/DEF(fun).aps, 689, 4736387
Samples/EXPR/EXPR(if_1).aps, 681, 4736390
Samples/EXPR/EXPR(or_10).aps, 691, 4736391
Samples/EXPR/EXPR(app_mul).aps, 739, 4736393
Samples/EXPR/EXPR(app_f).aps, 687, 4736391
Samples/EXPR/EXPR(not_0).aps, 681, 4736391
Samples/EXPR/EXPR(if_0).aps, 678, 4736390
Samples/EXPR/EXPR(lt_0).aps, 690, 4736390
Samples/EXPR/EXPR(num).aps, 697, 4736389
Samples/EXPR/EXPR(and_01).aps, 686, 4736392
Samples/EXPR/EXPR(eq_1).aps, 697, 4736390
Samples/EXPR/EXPR(app_sub).aps, 682, 4736393
Samples/EXPR/EXPR(and_11).aps, 684, 4736392
Samples/EXPR/EXPR(app_add).aps, 686, 4736393
Samples/EXPR/EXPR(app_div).aps, 678, 4736393
Samples/EXPR/EXPR(or_01).aps, 679, 4736391
Samples/EXPR/EXPR(not_1).aps, 684, 4736391
Samples/EXPR/EXPR(or_11).aps, 713, 4736391
Samples/EXPR/EXPR(or_00).aps, 684, 4736391
Samples/EXPR/EXPR(id).aps, 680, 4736388
Samples/EXPR/EXPR(and_10).aps, 693, 4736392
Samples/EXPR/EXPR(lt_1).aps, 679, 4736390
Samples/EXPR/EXPR(and_00).aps, 686, 4736392
Samples/EXPR/EXPR(eq_0).aps, 692, 4736390
Samples/EXPR/EXPR(abs).aps, 695, 4736389
Samples/prog9.aps, 685, 4736380
Samples/prog10.aps, 686, 4736381
Samples/ER(2023_1).aps, 682, 4736385
Samples/ER(2024_1).aps, 684, 4736385
Samples/STAT/STAT(if).aps, 685, 4736388
Samples/STAT/STAT(call-aps1a).aps, 685, 4736396
Samples/STAT/STAT(while).aps, 693, 4736391
Samples/STAT/STAT(call).aps, 701, 4736390
Samples/STAT/STAT(set).aps, 690, 4736389
Samples/STAT/STAT(echo).aps, 687, 4736390
Samples/prog1.aps, 682, 4736380
Samples/prog6.aps, 684, 4736380
Samples/ER(2023_2).aps, 859, 4736385
Samples/APS1a/incr(ref).aps, 1027, 4736390
Samples/APS1a/recPow.aps, 745, 4736387
Samples/APS1a/swap.aps, 874, 4736385
Samples/prog8.aps, 734, 4736380
Samples/ER(2024_2).aps, 815, 4736385
Samples/prog4.aps, 734, 4736380
Samples/prog3.aps, 691, 4736380
Samples/prog0.aps, 932, 4736380
Samples/APS0/isEven.aps, 720, 4736386
Samples/APS0/fact.aps, 721, 4736384
Samples/APS0/pgcd.aps, 716, 4736384
Samples/APS0/fib.aps, 694, 4736383
Samples/APS0/pow.aps, 752, 4736383
Samples/ARG/ARGS.aps, 705, 4736383
Samples/APS1/set.aps, 687, 4736383
Samples/APS1/proc.aps, 724, 4736384
Samples/APS1/while.aps, 689, 4736385
Samples/prog2.aps, 691, 4736380
Samples/prog5.aps, 707, 4736380
