sample path, correct (yes/no), result, prologTerm
Samples/prog7.aps, yes, Bien typé., "prog(block([echo(if(or(id(true),id(false)),num(5),num(10)))]))."
Samples/ER(2024_2).aps, yes, Bien typé., "prog(block([cmds(funRec(somme,int,[(n,int)],if(app(id(eq),[id(n),num(0)]),num(0),app(id(add),[id(n),app(id(somme),[app(id(sub),[id(n),num(1)])])])))),echo(app(id(somme),[num(3)]))]))."
Samples/ER(2024_1).aps, yes, Bien typé., "prog(block([cmds(const(u,int,num(3))),cmds(fun(f,int,[(x,bool),(y,int)],if(id(x),id(y),id(u)))),cmds(const(u,int,num(10))),echo(app(id(f),[app(id(eq),[id(u),num(3)]),id(u)]))]))."
Samples/ER(2023_1).aps, yes, Bien typé., "prog(block([cmds(const(u,int,num(3))),cmds(const(v,int,num(2))),cmds(fun(f,int,[(x,int),(y,int)],app(id(add),[id(x),id(y)]))),echo(app(id(f),[id(u),id(v)]))]))."
Samples/prog4.aps, yes, Bien typé., "prog(block([cmds(const(x,int,num(10))),cmds(const(y,int,num(20))),echo(app(id(add),[app(id(mul),[num(10),id(x)]),app(id(sub),[app(id(div),[id(y),num(2)]),num(10)])]))]))."
Samples/CMDS/CMDS(defs).aps, yes, Bien typé., "prog(block([cmds(const(a,int,num(1))),cmds(const(b,int,num(3))),cmds(fun(f,int,[(x,int),(y,int)],app(id(add),[app(id(mul),[num(42),id(x)]),app(id(sub),[app(id(div),[id(y),num(2)]),num(42)])]))),echo(app(id(f),[id(a),id(b)]))]))."
Samples/CMDS/CMDS(end).aps, yes, Bien typé., "prog(block([echo(num(42))]))."
Samples/prog8.aps, yes, Bien typé., "prog(block([cmds(const(a,int,num(3))),echo(id(a))]))."
Samples/prog6.aps, yes, Bien typé., "prog(block([echo(if(and(id(true),id(false)),num(8),num(9)))]))."
Samples/ER(2023_3).aps, yes, Bien typé., "prog(block([cmds(funRec(fib,int,[(x,int)],if(app(id(lt),[id(x),num(1)]),num(1),app(id(add),[app(id(fib),[app(id(sub),[id(x),num(1)])]),app(id(fib),[app(id(sub),[id(x),num(2)])])])))),echo(app(id(fib),[num(3)]))]))."
Samples/prog7.aps, yes, Bien typé., "prog(block([echo(if(or(id(true),id(false)),num(5),num(10)))]))."
Samples/DEF/DEF(proc).aps, yes, Bien typé., "prog(block([cmds(const(x,int,num(5))),cmds(proc(hichem,[(arg(x),int),(arg(y),int)],block([echo(app(id(add),[id(x),id(y)]))]))),echo(id(x))]))."
Samples/DEF/DEF(VAR).aps, yes, Bien typé., "prog(block([cmds(var(x,int)),echo(id(x))]))."
Samples/DEF/DEF(const).aps, yes, Bien typé., "prog(block([cmds(const(a,int,num(3))),echo(id(a))]))."
Samples/DEF/DEF(ProcRec).aps, yes, Bien typé., "prog(block([cmds(procRec(abdelkader,[(arg(x),int),(arg(y),int)],block([echo(app(id(add),[id(x),id(y)]))]))),echo(num(5))]))."
Samples/DEF/DEF(funRec).aps, yes, Bien typé., "prog(block([cmds(funRec(somme,int,[(n,int)],if(app(id(eq),[id(n),num(0)]),num(0),app(id(add),[id(n),app(id(somme),[app(id(sub),[id(n),num(1)])])])))),echo(app(id(somme),[num(3)]))]))."
Samples/DEF/DEF(fun).aps, yes, Bien typé., "prog(block([cmds(fun(f,int,[(x,int),(y,int)],app(id(add),[app(id(mul),[num(42),id(x)]),app(id(sub),[app(id(div),[id(y),num(2)]),num(42)])]))),echo(app(id(f),[num(1),num(100)]))]))."
Samples/EXPR/EXPR(if_1).aps, yes, Bien typé., "prog(block([echo(if(id(false),num(1),num(0)))]))."
Samples/EXPR/EXPR(or_10).aps, yes, Bien typé., "prog(block([echo(if(or(id(true),id(false)),num(1),num(0)))]))."
Samples/EXPR/EXPR(app_mul).aps, yes, Bien typé., "prog(block([echo(app(id(mul),[num(5),num(5)]))]))."
Samples/EXPR/EXPR(app_f).aps, yes, Bien typé., "prog(block([cmds(fun(f,int,[(x,int),(y,int)],app(id(add),[app(id(mul),[num(42),id(x)]),app(id(sub),[app(id(div),[id(y),num(2)]),num(42)])]))),echo(app(id(f),[num(1),num(100)]))]))."
Samples/EXPR/EXPR(not_0).aps, yes, Bien typé., "prog(block([echo(if(app(id(not),[id(false)]),num(1),num(0)))]))."
Samples/EXPR/EXPR(lt_0).aps, yes, Bien typé., "prog(block([echo(if(app(id(lt),[num(42),num(41)]),num(1),num(0)))]))."
Samples/EXPR/EXPR(and_01).aps, yes, Bien typé., "prog(block([echo(if(and(id(false),id(true)),num(10),num(11)))]))."
Samples/EXPR/EXPR(and_11).aps, yes, Bien typé., "prog(block([echo(if(and(id(true),id(true)),num(10),num(11)))]))."
Samples/EXPR/EXPR(and_10).aps, yes, Bien typé., "prog(block([echo(if(and(id(true),id(false)),num(10),num(11)))]))."
Samples/EXPR/EXPR(or_11).aps, yes, Bien typé., "prog(block([echo(if(or(id(true),id(true)),num(1),num(0)))]))."
Samples/EXPR/EXPR(app_mul).aps, yes, Bien typé., "prog(block([echo(app(id(mul),[num(5),num(5)]))]))."
Samples/EXPR/EXPR(app_sub).aps, yes, Bien typé., "prog(block([echo(app(id(sub),[num(42),num(17)]))]))."
Samples/EXPR/EXPR(or_01).aps, yes, Bien typé., "prog(block([echo(if(or(id(false),id(true)),num(1),num(0)))]))."
Samples/EXPR/EXPR(app_add).aps, yes, Bien typé., "prog(block([echo(app(id(add),[num(1),num(42)]))]))."
Samples/EXPR/EXPR(num).aps, yes, Bien typé., "prog(block([echo(num(42))]))."
Samples/EXPR/EXPR(app_f).aps, yes, Bien typé., "prog(block([cmds(fun(f,int,[(x,int),(y,int)],app(id(add),[app(id(mul),[num(42),id(x)]),app(id(sub),[app(id(div),[id(y),num(2)]),num(42)])]))),echo(app(id(f),[num(1),num(100)]))]))."
Samples/EXPR/EXPR(if_1).aps, yes, Bien typé., "prog(block([echo(if(id(false),num(1),num(0)))]))."
Samples/EXPR/EXPR(or_00).aps, yes, Bien typé., "prog(block([echo(if(or(id(false),id(false)),num(1),num(0)))]))."
Samples/EXPR/EXPR(id).aps, yes, Bien typé., "prog(block([cmds(const(a,int,num(3))),echo(id(a))]))."
Samples/EXPR/EXPR(not_1).aps, yes, Bien typé., "prog(block([echo(if(app(id(not),[id(true)]),num(1),num(0)))]))."
Samples/EXPR/EXPR(eq_0).aps, yes, Bien typé., "prog(block([echo(if(app(id(eq),[num(42),num(41)]),num(1),num(0)))]))."
Samples/EXPR/EXPR(or_10).aps, yes, Bien typé., "prog(block([echo(if(or(id(true),id(false)),num(1),num(0)))]))."
Samples/EXPR/EXPR(app_div).aps, yes, Bien typé., "prog(block([echo(app(id(div),[num(30),num(14)]))]))."
Samples/prog0.aps, yes, Bien typé., "prog(block([echo(num(42))]))."
Samples/TYPE/TYPE.aps, yes, Bien typé., "prog(block([cmds(const(a,int,num(5))),echo(id(a))]))."
