sample path, elapsed time (ms), memory usage (KB)
Samples/CMDS/CMDS(defs).aps, 772, 4692894
Samples/CMDS/CMDS(end).aps, 720, 4692893
Samples/TYPE/TYPE.aps, 703, 4692888
Samples/TYPE/TYPES.aps, 720, 4692889
Samples/ER(2023_3).aps, 709, 4692889
Samples/prog7.aps, 706, 4692884
Samples/DEF/DEF(proc).aps, 718, 4692892
Samples/DEF/DEF(VAR).aps, 728, 4692891
Samples/DEF/DEF(const).aps, 715, 4692893
Samples/DEF/DEF(ProcRec).aps, 710, 4692895
Samples/DEF/DEF(funRec).aps, 712, 4692894
Samples/DEF/DEF(fun).aps, 715, 4692891
Samples/EXPR/EXPR(if_1).aps, 725, 4692894
Samples/EXPR/EXPR(or_10).aps, 698, 4692895
Samples/EXPR/EXPR(app_mul).aps, 700, 4692897
Samples/EXPR/EXPR(app_f).aps, 719, 4692895
Samples/EXPR/EXPR(not_0).aps, 699, 4692895
Samples/EXPR/EXPR(if_0).aps, 707, 4692894
Samples/EXPR/EXPR(lt_0).aps, 721, 4692894
Samples/EXPR/EXPR(num).aps, 703, 4692893
Samples/EXPR/EXPR(and_01).aps, 710, 4692896
Samples/EXPR/EXPR(eq_1).aps, 711, 4692894
Samples/EXPR/EXPR(app_sub).aps, 714, 4692897
Samples/EXPR/EXPR(and_11).aps, 724, 4692896
Samples/EXPR/EXPR(app_add).aps, 699, 4692897
Samples/EXPR/EXPR(app_div).aps, 716, 4692897
Samples/EXPR/EXPR(or_01).aps, 702, 4692895
Samples/EXPR/EXPR(not_1).aps, 704, 4692895
Samples/EXPR/EXPR(or_11).aps, 731, 4692895
Samples/EXPR/EXPR(or_00).aps, 739, 4692895
Samples/EXPR/EXPR(id).aps, 703, 4692892
Samples/EXPR/EXPR(and_10).aps, 709, 4692896
Samples/EXPR/EXPR(lt_1).aps, 721, 4692894
Samples/EXPR/EXPR(and_00).aps, 709, 4692896
Samples/EXPR/EXPR(eq_0).aps, 714, 4692894
Samples/EXPR/EXPR(abs).aps, 710, 4692893
Samples/prog9.aps, 731, 4692884
Samples/prog10.aps, 740, 4692885
Samples/ER(2023_1).aps, 732, 4692889
Samples/ER(2024_1).aps, 712, 4692889
Samples/STAT/STAT(if).aps, 712, 4692892
Samples/STAT/STAT(call-aps1a).aps, 721, 4692900
Samples/STAT/STAT(while).aps, 776, 4692895
Samples/STAT/STAT(call).aps, 712, 4692894
Samples/STAT/STAT(set).aps, 699, 4692893
Samples/STAT/STAT(echo).aps, 705, 4692894
Samples/prog1.aps, 711, 4692884
Samples/prog6.aps, 707, 4692884
Samples/ER(2023_2).aps, 742, 4692889
Samples/APS1a/incr(ref).aps, 902, 4692894
Samples/APS1a/recPow.aps, 969, 4692891
Samples/APS1a/swap.aps, 781, 4692889
Samples/prog8.aps, 909, 4692884
Samples/ER(2024_2).aps, 781, 4692889
Samples/prog4.aps, 806, 4692884
Samples/prog3.aps, 705, 4692884
Samples/prog0.aps, 732, 4692884
Samples/APS0/isEven.aps, 934, 4692890
Samples/APS0/fact.aps, 743, 4692888
Samples/APS0/pgcd.aps, 846, 4692888
Samples/APS0/fib.aps, 714, 4692887
Samples/APS0/pow.aps, 733, 4692887
Samples/ARG/ARGS.aps, 716, 4692887
Samples/APS1/set.aps, 734, 4692887
Samples/APS1/proc.aps, 708, 4692888
Samples/APS1/while.aps, 702, 4692889
Samples/prog2.aps, 705, 4692884
Samples/prog5.aps, 707, 4692884
