sample path, correct (yes/no), result
Samples/prog7.aps, yes, Bien typé.
Samples/ER(2024_2).aps, yes, Bien typé.
Samples/ER(2024_1).aps, yes, Bien typé.
Samples/ER(2023_1).aps, yes, Bien typé.
Samples/prog4.aps, yes, Bien typé.
Samples/CMDS/CMDS(defs).aps, yes, Bien typé.
Samples/CMDS/CMDS(end).aps, yes, Bien typé.
Samples/prog8.aps, yes, Bien typé.
Samples/prog6.aps, yes, Bien typé.
Samples/ER(2023_3).aps, yes, Bien typé.
Samples/EXPR/EXPR(if_0).aps, yes, Bien typé.
Samples/EXPR/EXPR(and_00).aps, yes, Bien typé.
Samples/EXPR/EXPR(lt_1).aps, yes, Bien typé.
Samples/EXPR/EXPR(eq_1).aps, yes, Bien typé.
Samples/EXPR/EXPR(abs).aps, yes, Bien typé.
Samples/EXPR/EXPR(not_0).aps, yes, Bien typé.
Samples/EXPR/EXPR(lt_0).aps, yes, Bien typé.
Samples/EXPR/EXPR(and_01).aps, yes, Bien typé.
Samples/EXPR/EXPR(and_11).aps, yes, Bien typé.
Samples/EXPR/EXPR(and_10).aps, yes, Bien typé.
Samples/EXPR/EXPR(or_11).aps, yes, Bien typé.
Samples/EXPR/EXPR(app_mul).aps, yes, Bien typé.
Samples/EXPR/EXPR(app_sub).aps, yes, Bien typé.
Samples/EXPR/EXPR(or_01).aps, yes, Bien typé.
Samples/EXPR/EXPR(app_add).aps, yes, Bien typé.
Samples/EXPR/EXPR(num).aps, yes, Bien typé.
Samples/EXPR/EXPR(app_f).aps, yes, Bien typé.
Samples/EXPR/EXPR(if_1).aps, yes, Bien typé.
Samples/EXPR/EXPR(or_00).aps, yes, Bien typé.
Samples/EXPR/EXPR(id).aps, yes, Bien typé.
Samples/EXPR/EXPR(not_1).aps, yes, Bien typé.
Samples/EXPR/EXPR(eq_0).aps, yes, Bien typé.
Samples/EXPR/EXPR(or_10).aps, yes, Bien typé.
Samples/EXPR/EXPR(app_div).aps, yes, Bien typé.
Samples/prog0.aps, yes, Bien typé.
Samples/TYPE/TYPE.aps, yes, Bien typé.
Samples/TYPE/TYPES.aps, yes, Bien typé.
Samples/STAT/STAT(call).aps, yes, Bien typé.
Samples/STAT/STAT(set).aps, yes, Bien typé.
Samples/STAT/STAT(echo).aps, yes, Bien typé.
Samples/STAT/STAT(while).aps, yes, Bien typé.
Samples/STAT/STAT(if).aps, yes, Bien typé.
Samples/prog2.aps, yes, Bien typé.
Samples/ARG/ARGS.aps, yes, Bien typé.
Samples/prog5.aps, yes, Bien typé.
Samples/ER(2023_2).aps, yes, Bien typé.
Samples/prog3.aps, yes, Bien typé.
Samples/prog10.aps, yes, Bien typé.
Samples/prog9.aps, yes, Bien typé.
Samples/prog1.aps, yes, Bien typé.
Samples/DEF/DEF(ProcRec).aps, yes, Bien typé.
Samples/DEF/DEF(proc).aps, yes, Bien typé.
Samples/DEF/DEF(const).aps, yes, Bien typé.
Samples/DEF/DEF(VAR).aps, yes, Bien typé.
Samples/DEF/DEF(fun).aps, yes, Bien typé.
Samples/DEF/DEF(funRec).aps, yes, Bien typé.
